model,target,aic,bic,intercept,friction,additive,multiplicative,alpha,sigma,epsilon
M1,reward_gap,375.6251780245343,381.2818054991389,1.1440125256737586,0.18452923570211074,,,,,
M2,reward_gap,380.14065793867616,385.79728541328075,1.0103298520462858,,0.39137375446728323,,,,
M3,reward_gap,377.74747561239286,383.40410308699745,1.171620058847705,,,0.8974030770419716,,,
M4,reward_gap,332.954024405724,344.2672793549332,-0.11042351502180017,,,,0.03694812640547718,2.436021467149258,0.17930323338508616
M1,convergence_time,-396.42921495694526,-390.77258748234067,1.9860624131035691,0.00244787817717659,,,,,
M2,convergence_time,-396.8986502331613,-391.2420227585567,1.981619047619047,,0.007619047619048098,,,,
M3,convergence_time,-396.3227246451411,-390.6660971705365,1.9862910798122049,,,0.012363067292644797,,,
M4,convergence_time,-395.53887836182156,-384.2256234126124,1.995999999999999,,,,-0.014999999999999826,-0.009999999999999407,2.7686647411286245e-16
M1,policy_variance,-3095.1430061899005,-3089.486378715296,0.0,0.0,,,,,
M2,policy_variance,-3095.1430061899005,-3089.486378715296,0.0,,0.0,,,,
M3,policy_variance,-3095.1430061899005,-3089.486378715296,0.0,,,0.0,,,
M4,policy_variance,-3091.1430061899005,-3079.829751240691,0.0,,,,0.0,0.0,0.0
M1,pareto_inefficiency,-3095.1430061899005,-3089.486378715296,0.0,0.0,,,,,
M2,pareto_inefficiency,-3095.1430061899005,-3089.486378715296,0.0,,0.0,,,,
M3,pareto_inefficiency,-3095.1430061899005,-3089.486378715296,0.0,,,0.0,,,
M4,pareto_inefficiency,-3091.1430061899005,-3079.829751240691,0.0,,,,0.0,0.0,0.0
